路径编号,业务ID,业务组名称,路径编码
19,"042E0115
042E0185
040O0233
040O0211
040O020B
040O020F
040O0264
042E0121
01010915","检索提取
里程查询
下一步值机
下一步值机
选座接收
行李交运
值机接收
返回
结束",BRT_0408
20,"042E0115
042E0185
042E0115
042E0118
040O0233
040O0211
040O0210
040O020B
040O020B
040O0211
040O0210
040O020B
040O020F
040O0250
040O0264
040O0210
040O0282
040T0101
040O0200
01010915","检索提取
里程查询
检索提取
检索提取
下一步值机
下一步值机
检索提取
选座接收
选座接收
下一步值机
检索提取
选座接收
行李交运
里程查询
值机接收
检索提取
旅客升降舱
旅客升降舱
下一步值机
结束",BRT_0408
21,"042E0115
042E0185
040O0233
040O0211
040O020B
042E0121
01010915","检索提取
里程查询
下一步值机
下一步值机
选座接收
返回
结束",BRT_0408
22,"042E0115
040O0233
040O0211
040O0250
040O020B
040O020F
040O0264
040O0293
040O0200
042E0121
01010903","检索提取
下一步值机
下一步值机
里程查询
选座接收
行李交运
值机接收
航班详情
下一步值机
返回
结束",BRT_040I
23,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O0250
040O0250
040O0264
040O0210
040O0238
040O0238
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
里程查询
里程查询
值机接收
检索提取
重打牌
重打牌
下一步值机
行李交运
返回
结束",BRT_0402
24,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
25,"042E0105
042E0105
040O0240
042E0106
042E0117","办理历史
办理历史
检索提取
旅客详情
结束",BRT_040L
26,"042E0115
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O0238
040O0238
040O0250
040O0250
040O0270
040O0264
040O020F
040O0210
040O0211
040O020F
042E0121
040O0233
040O0211
040O0211
040O0225
040O020F
040O0288
040R0104
040O0200
040O0211
040O020F
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
重打牌
重打牌
里程查询
里程查询
旅客详情
值机接收
行李交运
检索提取
下一步值机
行李交运
返回
下一步值机
下一步值机
下一步值机
值机接收
行李交运
行李交运
行李交运
下一步值机
下一步值机
行李交运
下一步值机
行李交运
返回
结束",BRT_0402
27,"042E0115
042E0115
040O0233
040O0211
040O0238
040O0238
040O0211
040O020F
040O0264
042E0121
042E0117","检索提取
检索提取
下一步值机
下一步值机
重打牌
重打牌
下一步值机
行李交运
值机接收
返回
结束",BRT_0402
28,"042E0115
042E0115
042E0102
042E0112
040O0233
040O0211
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
返回
结束",BRT_0402
29,"042E0115
040O0233
040O0211
040O020F
040O0250
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
里程查询
返回
结束",BRT_0402
30,"042E0115
040O0233
040O0211
040O0250
040O0211
040O020B
040O0264
042E0121
042E0117","检索提取
下一步值机
下一步值机
里程查询
下一步值机
选座接收
值机接收
返回
结束",BRT_0402
31,"042E0115
042E0146
042E0146
042E0185
042E0117","检索提取
重打牌
重打牌
里程查询
结束",BRT_0402
32,"042E0115
040O0233
040O0211
040O0250
040O020B
040O0264
042E0121
042E0117","检索提取
下一步值机
下一步值机
里程查询
选座接收
值机接收
返回
结束",BRT_0402
33,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
结束",BRT_0402
34,"042E0115
042E0146
042E0146
042E0185
040O0233
040O0211
040O0264
042E0121
042E0117","检索提取
重打牌
重打牌
里程查询
下一步值机
下一步值机
值机接收
返回
结束",BRT_0402
35,"042E0115
042E0115
042E0118
042E0185
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0185
040O0233
040O0211
040O0264
040O0210
040O0211
040O020B
040O0210
040O0262
040O0262
040O0262
040O0262
040O0262
040O0211
040O020B
040O020B
040O0211
040O0211
040O020F
040O0264
042E0121
042E0150
042E0121
042E0117","检索提取
检索提取
检索提取
里程查询
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
里程查询
下一步值机
下一步值机
值机接收
检索提取
下一步值机
选座接收
检索提取
值机接收
值机接收
值机接收
值机接收
值机接收
下一步值机
选座接收
选座接收
下一步值机
下一步值机
行李交运
值机接收
返回
航班详情
返回
结束",BRT_0402
36,"042E0115
040O0233
040O0211
040O020B
040O0211
040O020F
040O0264
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
下一步值机
行李交运
值机接收
返回
结束",BRT_0402
37,"042E0115
042E0115
042E0118
040O0233
040O0211
040O0238
040O0238
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
重打牌
重打牌
返回
结束",BRT_0402
38,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
39,"042E0115
042E0185
040O0233
040O0211
040O020B
040O0211
040O020F
040O0264
042E0121
042E0117","检索提取
里程查询
下一步值机
下一步值机
选座接收
下一步值机
行李交运
值机接收
返回
结束",BRT_0402
40,"042E0115
042E0115
042E0118
040O0233
040O0211
040O0238
040O0238
040O0211
040O020F
040O0264
040O0210
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
重打牌
重打牌
下一步值机
行李交运
值机接收
检索提取
下一步值机
行李交运
返回
结束",BRT_0402
41,"16200100
16200101
16200101
042E0117","业务信息查询
业务信息查询
业务信息查询
结束",-
42,"042E0115
042E0115
040O0233
040O0211
040O0238
040O0238
040O0210
040O0250
040O020F
040O0250
040O0264
042E0121
042E0117","检索提取
检索提取
下一步值机
下一步值机
重打牌
重打牌
检索提取
里程查询
行李交运
里程查询
值机接收
返回
结束",BRT_0402
43,"042E0115
040O0233
040O0211
040O020B
040O0264
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
值机接收
返回
结束",BRT_0402
44,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
45,"042E0115
040O0233
040O0211
040O020B
040O0250
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
里程查询
返回
结束",BRT_0402
46,"042E0115
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O0282
040O0200
040O0210
040O0210
040O0282
040O0200
040O0210
040O0210
040O0282
040T0111
040O0200
040O0210
040O0211
040O020B
040O0211
040O020F
040O0210
040O0211
040O020F
040O0210
040O0210
040O0282
040O0200
040O0210
040O0282
040T0101
040O0200
040O0210
040O0210
040O0211
040O020E
040O0264
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
旅客升降舱
下一步值机
检索提取
检索提取
旅客升降舱
下一步值机
检索提取
检索提取
旅客升降舱
旅客升降舱
下一步值机
检索提取
下一步值机
选座接收
下一步值机
行李交运
检索提取
下一步值机
行李交运
检索提取
检索提取
旅客升降舱
下一步值机
检索提取
旅客升降舱
旅客升降舱
下一步值机
检索提取
检索提取
下一步值机
修改座位
值机接收
返回
结束",BRT_0402
47,"042E0115
042E0115
040O0233
040O0211
040O020B
040O0264
040O0282
040T0101
040O0200
040O0270
042E0121
042E0115
042E0115
042E0146
042E0146
042E0117","检索提取
检索提取
下一步值机
下一步值机
选座接收
值机接收
旅客升降舱
旅客升降舱
下一步值机
旅客详情
返回
检索提取
检索提取
重打牌
重打牌
结束",BRT_0402
48,"042E0115
042E0112
042E0185
040O0233
040O0211
040O020B
040O0264
040O0293
040O0200
040O0282
040T0101
040O0200
040O0250
040O0264
042E0121
042E0117","检索提取
检索提取
里程查询
下一步值机
下一步值机
选座接收
值机接收
航班详情
下一步值机
旅客升降舱
旅客升降舱
下一步值机
里程查询
值机接收
返回
结束",BRT_0402
49,"042E0115
042E0146
042E0146
040O0233
040O0211
040O020F
040O0264
040O0250
040O0293
040O0200
042E0121
042E0115
042E0117","检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
值机接收
里程查询
航班详情
下一步值机
返回
检索提取
结束",BRT_0402
50,"042E0115
042E0146
042E0146
040O0233
040O0211
040O0264
042E0121
042E0117","检索提取
重打牌
重打牌
下一步值机
下一步值机
值机接收
返回
结束",BRT_0402
51,"042E0115
040O0233
040O0211
040O0250
040O0293
040O0200
040O0211
040O020B
040O0250
040O0264
040O020E
042E0121
042E0117","检索提取
下一步值机
下一步值机
里程查询
航班详情
下一步值机
下一步值机
选座接收
里程查询
值机接收
修改座位
返回
结束",BRT_0402
52,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0185
042E0118
042E0185
042E0118
040O0233
040O0211
040O0238
040O0238
040O0211
040O020F
040O020F
040O0264
040O0290
040O0200
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
里程查询
检索提取
里程查询
检索提取
下一步值机
下一步值机
重打牌
重打牌
下一步值机
行李交运
行李交运
值机接收
行李合并
下一步值机
返回
结束",BRT_0402
53,"042E0115
042E0115
042E0118
040O0233
040O0211
040O020B
040O0264
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
值机接收
返回
结束",BRT_0402
54,"042E0115
040O0233
040O0211
040O020B
040O0210
040O020E
040O0264
040O0293
040O0200
040O0282
040T0101
040O0200
040O0264
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
检索提取
修改座位
值机接收
航班详情
下一步值机
旅客升降舱
旅客升降舱
下一步值机
值机接收
返回
结束",BRT_0402
55,"042E0115
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
返回
结束",BRT_0402
56,"042E0115
040O0233
040O0211
040O0238
040O0238
040O0211
040O020F
040O0250
040O0264
042E0121
042E0170
042E0121
042E0117","检索提取
下一步值机
下一步值机
重打牌
重打牌
下一步值机
行李交运
里程查询
值机接收
返回
旅客升降舱
返回
结束",BRT_0402
57,"042E0115
042E0185
040O0233
040O0211
040O0264
040O0250
040O0282
040T0111
040O0200
042E0121
042E0117","检索提取
里程查询
下一步值机
下一步值机
值机接收
里程查询
旅客升降舱
旅客升降舱
下一步值机
返回
结束",BRT_0402
58,"042E0115
042E0185
042E0115
042E0185
042E0118
042E0115
040O0233
040O0211
040O0264
040O0238
040O0238
040O0211
040O020F
040O0210
040O0211
040O020F
042E0121
042E0117","检索提取
里程查询
检索提取
里程查询
检索提取
检索提取
下一步值机
下一步值机
值机接收
重打牌
重打牌
下一步值机
行李交运
检索提取
下一步值机
行李交运
返回
结束",BRT_0402
59,"042E0115
042E0170
040T0101
042E0121
042E0117","检索提取
旅客升降舱
旅客升降舱
返回
结束",BRT_0402
60,"042E0115
042E0185
042E0150
042E0121
042E0117","检索提取
里程查询
航班详情
返回
结束",BRT_0402
61,"042E0115
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
返回
结束",BRT_0402
62,"042E0115
040O0233
040O0211
040O0238
040O0238
042E0121
042E0117","检索提取
下一步值机
下一步值机
重打牌
重打牌
返回
结束",BRT_0402
63,"042E0115
040O0233
040O0211
040O020F
040O0238
040O0238
040O0211
040O020F
042E0121
040O0233
040O0211
040O0211
040O020F
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
重打牌
重打牌
下一步值机
行李交运
返回
下一步值机
下一步值机
下一步值机
行李交运
下一步值机
行李交运
返回
结束",BRT_0402
64,"042E0115
042E0115
042E0118
040O0233
040O0211
040O0238
040O0238
040O0211
040O020F
040O0250
040O0264
040O0225
040O020F
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
重打牌
重打牌
下一步值机
行李交运
里程查询
值机接收
值机接收
行李交运
行李交运
返回
结束",BRT_0402
65,"042E0115
042E0112
042E0115
042E0112
042E0118
042E0115
042E0112
040O0233
040O0211
040O020B
040O0211
040O020A
040O0210
040O0211
040O020B
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
值机接收
检索提取
下一步值机
选座接收
返回
结束",BRT_0402
66,"042E0115
042E0115
042E0118
040O0233
040O0211
040O0264
040O0262
040O0282
040T0111
040T0109
040O0200
040O0210
040O020A
040O0210
040O0282
040T0111
040O0200
040O0211
042E0121
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
值机接收
值机接收
旅客升降舱
旅客升降舱
旅客升降舱
下一步值机
检索提取
值机接收
检索提取
旅客升降舱
旅客升降舱
下一步值机
下一步值机
返回
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
67,"042E0115
040O0233
040O0211
040O020F
040O0250
040O0264
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
里程查询
值机接收
返回
结束",BRT_0402
68,"042E0115
040O0233
040O0211
040O0250
040O0293
040O0200
040O0211
040O020B
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
里程查询
航班详情
下一步值机
下一步值机
选座接收
下一步值机
行李交运
返回
结束",BRT_0402
69,"042E0115
042E0146
042E0146
042E0117","检索提取
重打牌
重打牌
结束",BRT_0402
70,"042E0115
042E0115
042E0118
042E0115
040O0233
040O0211
040O0238
040O0238
040O0264
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
重打牌
重打牌
值机接收
返回
结束",BRT_0402
71,"042E0115
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
042E0121
042E0118
042E0146
042E0146
040O0233
040O0211
040O0264
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
返回
检索提取
重打牌
重打牌
下一步值机
下一步值机
值机接收
返回
结束",BRT_0402
72,"042E0115
042E0115
042E0115
042E0118
040O0233
040O0211
040O0262
040O0262
040O0211
040O020B
040O020B
040O0211
040O0264
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
值机接收
值机接收
下一步值机
选座接收
选座接收
下一步值机
值机接收
行李交运
返回
结束",BRT_0402
73,"042E0115
040O0233
040O0211
040O020B
040O0250
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
里程查询
返回
结束",BRT_0402
74,"042E0115
040O0233
040O0211
040O0250
040O0211
040O020B
042E0121
042E0117","检索提取
下一步值机
下一步值机
里程查询
下一步值机
选座接收
返回
结束",BRT_0402
75,"042E0115
042E0185
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O020B
040O020B
040O0211
040O0264
040O0293
040O0200
040O0264
040O0293
040O0200
040O0264
040O0282
040T0101
040O0200
040O0211
040O020F
040O0210
040O0211
040O0293
040O0200
040O0211
040O020F
042E0121
042E0115
042E0112
042E0115
040O0233
040O0211
040O020D
040O0262
040O0211
040O020F
042E0121
042E0117","检索提取
里程查询
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
下一步值机
值机接收
航班详情
下一步值机
值机接收
航班详情
下一步值机
值机接收
旅客升降舱
旅客升降舱
下一步值机
下一步值机
行李交运
检索提取
下一步值机
航班详情
下一步值机
下一步值机
行李交运
返回
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收加行李
值机接收
下一步值机
行李交运
返回
结束",BRT_0402
76,"042E0115
040O0233
040O0211
040O020B
040O0210
040O0211
040O020E
040O0264
040O0250
040O0293
040O0200
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
检索提取
下一步值机
修改座位
值机接收
里程查询
航班详情
下一步值机
返回
结束",BRT_0402
77,"042E0115
040O0233
040O0211
040O0238
040O0238
040O0211
040O020F
040O0250
040O0264
040O0293
040O0200
042E0121
042E0117","检索提取
下一步值机
下一步值机
重打牌
重打牌
下一步值机
行李交运
里程查询
值机接收
航班详情
下一步值机
返回
结束",BRT_0402
78,"042E0115
042E0117","检索提取
结束",BRT_0402
79,"042E0115
042E0115
042E0118
042E0115
040O0233
040O0211
040O0238
040O0238
040O0250
040O0250
040O0264
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
重打牌
重打牌
里程查询
里程查询
值机接收
返回
结束",BRT_0402
80,"042E0115
042E0117","检索提取
结束",BRT_0402
81,"042E0115
042E0115
042E0118
042E0118
040O0233
040O0211
040O020D
040O0264
040O0293
040O0200
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收加行李
值机接收
航班详情
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
82,"042E0115
040O0233
040O0211
040O0238
040O0238
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
重打牌
重打牌
下一步值机
行李交运
返回
结束",BRT_0402
83,"042E0115
040O0233
040O0211
040O020F
040O0250
040O0264
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
里程查询
值机接收
返回
结束",BRT_0402
84,"042E0115
042E0185
040O0233
040O0211
040O0264
040O020B
040O020B
040O0211
040O0293
040O0200
040O0264
040O0282
040T0101
040O0200
040O0211
040O020F
040O0264
042E0121
042E0117","检索提取
里程查询
下一步值机
下一步值机
值机接收
选座接收
选座接收
下一步值机
航班详情
下一步值机
值机接收
旅客升降舱
旅客升降舱
下一步值机
下一步值机
行李交运
值机接收
返回
结束",BRT_0402
85,"042E0115
040O0233
040O0211
040O0250
040O0211
040O020B
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
里程查询
下一步值机
选座接收
下一步值机
行李交运
返回
结束",BRT_0402
86,"042E0115
040O0233
040O0211
040O0293
040O0200
040O0210
040O0211
040O020B
040O0264
042E0121
042E0117","检索提取
下一步值机
下一步值机
航班详情
下一步值机
检索提取
下一步值机
选座接收
值机接收
返回
结束",BRT_0402
87,"042E0115
042E0146
042E0146
042E0117","检索提取
重打牌
重打牌
结束",BRT_0402
88,"042E0115
042E0185
042E0146
042E0146
042E0115
042E0118
040O0233
040O0211
040O0282
040T0101
040O0200
040O0264
040O0293
040O0200
042E0121
042E0117","检索提取
里程查询
重打牌
重打牌
检索提取
检索提取
下一步值机
下一步值机
旅客升降舱
旅客升降舱
下一步值机
值机接收
航班详情
下一步值机
返回
结束",BRT_0402
89,"042E0115
042E0117","检索提取
结束",BRT_0402
90,"042E0115
042E0117","检索提取
结束",BRT_0402
91,"042E0115
042E0146
042E0106
040O0233
040O0211
040O0293
040O0200
042E0121
042E0146
042E0146
040O0233
040O0211
042E0121
042E0117","检索提取
重打牌
旅客详情
下一步值机
下一步值机
航班详情
下一步值机
返回
重打牌
重打牌
下一步值机
下一步值机
返回
结束",BRT_0402
92,"042E0115
042E0185
042E0117","检索提取
里程查询
结束",BRT_0402
93,"042E0115
040O0233
040O0211
040O020D
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收加行李
返回
结束",BRT_0402
94,"042E0115
042E0115
042E0118
042E0185
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
检索提取
检索提取
里程查询
下一步值机
下一步值机
选座接收
返回
结束",BRT_0402
95,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
040O0233
040O0211
040O0210
040O0210
040O0210
040O0211
040O020B
040O0210
040O0211
040O020E
040O0210
040O0211
040O020F
040O0264
040O0211
040O020F
040O0211
040O020F
040O0211
040O020F
040O0288
040R0104
040O0200
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
检索提取
检索提取
检索提取
下一步值机
选座接收
检索提取
下一步值机
修改座位
检索提取
下一步值机
行李交运
值机接收
下一步值机
行李交运
下一步值机
行李交运
下一步值机
行李交运
行李交运
行李交运
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
96,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
97,"042E0115
042E0115
042E0115
040O0233
040O0211
040O0238
040O0238
040O0250
040O0225
040O020F
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
重打牌
重打牌
里程查询
值机接收
行李交运
下一步值机
行李交运
返回
结束",BRT_0402
98,"042E0115
042E0117","检索提取
结束",BRT_0402
99,"042E0115
042E0185
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O0250
040O0293
040O0200
040O0210
040O0211
040O020B
040O0211
040O020F
042E0121
042E0117","检索提取
里程查询
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
里程查询
航班详情
下一步值机
检索提取
下一步值机
选座接收
下一步值机
行李交运
返回
结束",BRT_0402
100,"042E0115
042E0115
042E0118
042E0185
042E0118
040O0233
040O0211
040O0238
040O0238
040O0211
040O020F
040O0264
040O0264
040O0293
040O0200
040O0211
040O0225
040O020F
040O0210
040O0250
042E0121
042E0117","检索提取
检索提取
检索提取
里程查询
检索提取
下一步值机
下一步值机
重打牌
重打牌
下一步值机
行李交运
值机接收
值机接收
航班详情
下一步值机
下一步值机
值机接收
行李交运
检索提取
里程查询
返回
结束",BRT_0402
101,"042E0115
042E0117","检索提取
结束",BRT_0402
102,"042E0115
042E0115
042E0118
040O0233
040O0211
040O020B
040O0250
040O0250
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
里程查询
里程查询
返回
结束",BRT_0402
103,"042E0115
042E0146
040O0233
040O0211
040O0250
040O0211
040O020D
040O0264
040O0282
040T0101
040O0200
040O0264
042E0121
042E0117","检索提取
重打牌
下一步值机
下一步值机
里程查询
下一步值机
选座接收加行李
值机接收
旅客升降舱
旅客升降舱
下一步值机
值机接收
返回
结束",BRT_0402
104,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O020B
040O0211
040O020F
040O0210
040O0211
040O020F
040O0210
040O0211
040O020F
040O0210
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
行李交运
检索提取
下一步值机
行李交运
检索提取
下一步值机
行李交运
检索提取
下一步值机
行李交运
返回
结束",BRT_0402
105,"042E0115
040O0233
040O0211
040O020D
040O0264
040O0293
040O0200
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收加行李
值机接收
航班详情
下一步值机
返回
结束",BRT_0402
106,"042E0115
042E0115
040O0233
040O0211
040O020B
040O0211
040O020F
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
行李交运
下一步值机
行李交运
返回
结束",BRT_0402
107,"042E0115
042E0115
042E0118
040O0233
040O0211
040O020B
040O0211
040O020F
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
行李交运
下一步值机
行李交运
返回
结束",BRT_0402
108,"042E0115
042E0185
040O0233
040O0211
040O020F
040O0238
040O0238
040O0264
042E0121
042E0117","检索提取
里程查询
下一步值机
下一步值机
行李交运
重打牌
重打牌
值机接收
返回
结束",BRT_0402
109,"042E0115
040O0233
040O0211
040O0238
040O0238
040O0211
040O020F
040O0264
040O0264
040O0293
040P0221
040O0200
040O0264
040O0282
040T0101
040O0200
040O0264
042E0121
042E0117","检索提取
下一步值机
下一步值机
重打牌
重打牌
下一步值机
行李交运
值机接收
值机接收
航班详情
航班详情
下一步值机
值机接收
旅客升降舱
旅客升降舱
下一步值机
值机接收
返回
结束",BRT_0402
110,"042E0115
042E0146
042E0146
040O0233
040O0211
040O020F
040O0264
040O0293
040O0200
042E0121
042E0117","检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
值机接收
航班详情
下一步值机
返回
结束",BRT_0402
